Taylor	Levanto	Kuelap	Choctamal	Lamud	La Jalca	Chaquíl-Trita	Cuemal	Huancas
			mari sacha		maria sacha			
	marko, shilshil macho			marko	markos			marko
						mashua de puru machu		
					matanga biquko			
	matiko	matiko	matiko				matiko	
								matiko de temple
					mati sacha			
								mat-mat
mawshín			maoshin					
					meu			
miki karaq								
			mishu					misha
							mituqsha	
miyu	miu-miu							miu-miu
								molle
		mora kaspi	mora kaspi		mora kaspi	mora kaspi		
	morocho (=chatave)		morocho			morocho	morocho	
								morocho qalkino
								morrerro
					motol			
					mot mullaka			
mukmuk					muko muko			
mullaka	mullaka	mullaka	mullaka		mullaka			
			mupa-mupa					
								mupa blanca
						mupa sacha	mupa sacha	mupa rosado
								mupa tunas pichana
		mushuñaw	mushuñaw					
						mut kasha	mut kasha	
		muyo						
						niñu willka	niño willka	
	nogal			nogal				nogal
	nunumia	lecha sacha			urqul			
	ñudillu	ñudillu	ñudillo		ñudillo	shallka kiwa	ñudillu	
					ñuka reba, reba reba	sarsilla sacha	sarsilla sacha	aretes
						ñulo	ñulo	
	oltasan (1)							
				oltasan (2)			oltasan (2)	
			olchuq (1)		olchuq (1)			
	olchoq (2)							
							ollivares	
olluq awar					olluq awar			
						padru kornu		
	oskon			osikon	paku kasha	qusmin	osikon	oskon negro
								oskon morado
		pakra (=chillos)	pakra					
	pakakunga							
					pak awar			
								pakay
				pak-pak				
								
		pakunga	pakunga		pakunga		pakunga	
								
pakurapra	paku rapra (1)							
		paku rapra (2)						
						paku rapra (3)	paku rapra (3)	
								paku rapra (4)
					pali			
	palpar				palpal	palpar	palpar	
						palpalillu		
	shuruvo kisha	palla-palla (1)						
			palla-palla (2)					
							pallkete	
								puka pallkete
				panga mito				
			papa karan					
	paquro		paquro	paquru				
					pasto venansio			
pate		pate						
patryaq					pachiaq			
	payko		payko		paiko			
payunga								
				perchador				
					palmet			
	penka		penka					
				chawar penka			chawer penka	
				penka azul	penka azul			
								pichiq-pichiq
		pika-pika						
					pilato wayta			
	pillangllo macho		pillangllu		mati mallana	pillinllu	pillinsho	
	pillangllo 2							
				pingaku			pingaki	
	pinpin (1)	pinpingo			tamso			
	pinpin (2)	chunchul	pinpingu		tamsito			
								piq-piq
pioshway							plas uqsha	
pishkuñaw	pishku ñaw							
					pishko wayuna			
								pitaqaya
					piungshi			
					plata sacha			
		poleo	poleo			aya manchana		aya manchana yana
					poleo blanco			
					poleo morado (1)			
								poleo morado (2)
					poleo rojo			
					pollmete			
							pona	
					poncho lolo			
poshmet	poshmete	poshmete	poshmete		poshmet			
		puchiku sacha, chullko		puchku sacha	kaña puchko, chullke			
								puchko shawinto
							puk awer	
			puka sacha					
puka ñawi	puka ñaw							
	pukawre		pukauri					
						puma awarnin	pum awer	
	puma maki (1)				puma maki (1)			
					puma maki (2)			
			puma llukana					
							pumpumshilla	
purpur			purpur					
	purpur (2)		ukcha purpur		purpur chullito			
	purpuru				puru-puru		kushpayu	
	puchkana kaspi							
			purungu					
putkeru	putkero	putkeru		putkeru	putkeru		putkero	
						putkeru (2)		
qantu					qantu			
					hatun kantu			
	qunquli							qunquli
					qur mikuna			
raqacha		sacha rakacha	rakacha				rakacha	
					macho rakacha, zanahoria del gentil 	zanahoria del gentil	rakacha del gentil	
								rakta kara
								rayullo
	retama	retama						
						retama chica		
							riqtin rata	
	bequkillu					romero blanco	chufran sacha	
						romero del agua		
								romero sacha
							rosario mullaka	
						rum som	rum sawan	
	rum som (2)							
	sauko						sabako	
								sacha chilka
								sacha oka
					sacha kongona			
								sacha oregano
								sacha papa
								sacha wallpa
					sacha trigo		trigitu	
					saisa			
			sakate					
							san juanillu	
								San Pablo temple
				san pedro				San Pedro
			santanvargas			santanvargas	santan vargas	avincho blanco
							sapotin	
	sara mama			sara mama	sara mama		sara maman	sara mama
					ñuka reba, reba reba	sarsillu sacha	sarsilla sacha	aretes
	sarsilleqa							
			sawsi					
		sekana				sekana		
					sekana waiko			
	selecho							
	serraqa		serraqa					
		seraqa (2)						
							sikana	
siqsiq					sik-sik		sik-sik	
	sioge		sioge					
						sioge colorado	sioge colorado	
							siq-siq	
			sira-sira (1)		siwa-siwa			
						sira-sira (2)		
	siso	siso			siso	seso	seso	
sonche	sonche kasha	sonche			sonche kasha			
								
					sowinchu			
					soliman asul			
	soliman sacha	soliman			soliman amarillo			
	suelda con suelda							suelda con suelda
	sup sacha, supkiwa	sup sacha, supi kiwa	sup sacha	sup sacha	sup sacha			
								
						sowintal	suintal	
			shakapa					
							shallka sacha	
						shallka kiwa	shall kiwa	
					shapuniba			
					shaqash awar			
						kumar awarnin	shaksha sacha	
						lanche	shallka shawinte	
shashkebo	chinchango	chinchango	chinchango	chinchango	shashkebe	chinchango	chinchango	chinchango
		shashka rumi	shashka rumi					
					shawintu, shawente			
								
							shallka shawintu	
					shilalu		shilala	
	shil-shil		shilshil		shilshil			
					shimba chirapa (1)	shimbay chirapa (1)		
							shimba chirapa (2)	
	shingil							
					shingil kaspi			
		shitana (1)						
					shitana (2)			
							shitana (3)	
sholoke	choloke							
	shol-shol							
shombri, shomeru								
					shombrillo			
					shombru			
				shukshu				
					shuka paiko			
								shullima
			shullma			shullma blanca	tola	
						shullma amarilla	shullma amarilla	
	shullima (2)							
shuka payko	shuka payko							
	shukuna					shuribu kallpanan	shuribo kallpana	
						shurubu trupan		
	shurubo kisha				kuchi karachu			
						shushkul	puru-puru	
		tafitan	tafitan	tafetan			tafetan	
					tamia wayta	tamia wayta	tamia wayta	
							tansharina	
		konoq	kunuq		konoq		tawer	
				taya 				
tayango, tayanga	tayango		tayango	tayango	tayanka	tayango		
								
		tayango (2)						shallka tayanka
						tayango amarillo		killo tayanka
					tayanka morado			
								tayanga hoja menuda
				uchku tayango				
		taruwi						
tayu	mut-tayu				taya			tara tayo
								tendal
	tiqte sacha							
tishku	tishko	tishko						
	titipshilla							
	tola	tola	tola					tola
					tola (2)			
								waska tola
					tolapsan			
tonshukaspi	tomosho kaspi							
					topana kaspi			
				toro sacha				
	torverga							
								tunas pichana
								tununa puchko
								tununa waska
tuqsichillka					tuq chilka			
					tushita			
						tuila	tuila	
		tuksi chillka	tuk    chillka	tuks chillka		chillka negra	tuksi chillka	chilka negra
					tutito			
					tuto			
		tutushilla						
tuwa					tuwa			
					hatun tuwa			
					utru sacha			
					utrpa ishpingo = pavo mikuna			
						uka de puru machu		
					uka sacha			
					ukuncha			
	ukurur				ukuruku	ukuruku	ukuruku	ukuruq
							ullku awer	
						umarmanan chico	umarmanan chico	
	anil sacha					umarmanan grande	umarmanan grande	
							unduliq	
						ungar		
			urpay tuku		urpe tupun			
	urpi kasha							
ushun	ushun			ushun	ushun			
					utku sacha			
	valeriana					valeriana	valeriana	
		vela kaspi	vela kaspi					
				verso	verso			
						verso grande	verso grande	
	viquko							
			waka mullo					
wakara						wak uman (1)	waka uman (1)	
							waka uman (2)	
					wakrillo			
wakra mullaka								
			walako					
						walamita	walamita	
							wallpa sacha	
							wanka	
warangu	warango	warango		warangu				warango
					warangillu		warangillo	warangillo
				waratako				
					warmi trutra			
							warmi sacha	
							warmi trebol	
warmi-warmi	warmi-warmi	warmi-warmi	warmi-warmi		warmi-warmi			warmi-warmi
warnapu		wanarpu						wanarapo
							was uqsha	
					waylla	uqshe del campo	waylla uqsha	
wayruro	wayruro (ushun)	wayruro						
wiqul								
			washpa sacha					
								wikra
								wikra grande
								wikra de yunga (rosado)
wikundo	wikundo	wikundo	wikundo		wikundo			
								wini wayna
		wirusha			wakacho			
					yakon sacha		yakon sacha	
								yaku chillka
yanamonte								
yana murillu					yana murillu			
								yana sacha
	yawar wakangi, atok talla							
yul								
								yuka sacha
					yul chilo			
yunchino								
								yunga chicharrita
							yut kapa	
						yutu awarnin		
		yutu papa	yutu papa					
								yuyu, ataku
						zanahoria del gentil	rakacha del gentil	
